Item,SKU,Serial number,Barcode,Brand,Supplier,Quantity sold, Sales (inc. tax) , Sales (Ex. tax) , Order discounts , Discount offers , Total markup value , Purchase cost , Gross profit ,Margin %
ZERO 11X Electric Scooter / with Off-road Tyre,ZERO-11X-72V35-OFF-ROAD,"F11X132L210417008, F11X735L201223013, F11X732L210417002, F11X732L210417007, F11X, F11X732L210805001, tba3, tba, F11X732L2108805008, F11X732L210805015, F11X732L210805009, F11X732L210805003, F11X732L210417003, F11X732L210805007, F11X732L210805010, F11X732L210805013, F11X732L210805006, F11X732L210805007, F11X732L210805002, F11X732L210805004, F11X7321210805005",C506ED32,Zero,Falcon PEV Pte Ltd,21,"$89,625.00","$81,477.27","$2,500.00",$0.00,$0.00,"$68,204.40","$13,272.87",16.29
"ZERO TYRE 8 Inch Series / 8"" Solid Rear (200x65)","ZER-TYRE-8""-SOLID-REAR",,FB7C8520,Zero,Falcon PEV Pte Ltd,21,$850.50,$773.18,$0.00,$0.00,$0.00,$565.95,$207.23,26.8
CLASSIC HEADLIGHT,,,,,,20,"$1,097.80",$998.00,$0.00,$0.00,$0.00,$0.00,$998.00,100
ZERO HELMETS,,,,,,20,$544.40,$494.91,$0.00,$0.00,$0.00,$0.00,$494.91,100
service,,,,,,20,"$1,549.50","$1,408.64",$250.00,$0.00,$549.00,$0.00,"$1,408.64",100
SM MidCity 27.5 / White,SMB-CITY-27.5-WH,"SMM190536, SMWM2000366, SMWM2000332, SMWM2000190, SMWM2000209, SMWM2000244, SMWM2000216, SMWM2000106, SMWM2000218, SMWM190798, SMWM2000300, SMM190504, SMM190876, SMWM2000257, SMM190810, SMWM2000042, SMWM2000282, SMWM2000140, SME",570AC496,Smartmotion,"Kunshan Cyclisport Co., Ltd",20,"$41,674.89","$37,919.95","$2,103.51",$0.00,$0.00,"$30,517.29","$7,402.66",19.52
SM Controller/MidDrive/XCity/Midcity / Colour Disp,SM-CONT-MID-XC-COL,,EA4F3229,Smartmotion,"Kunshan Cyclisport Co., Ltd",20,"$1,293.70","$1,176.09","$1,349.33",$0.00,$0.00,$129.37,"$1,046.72",89
SM Suspension Seat Post / Satori Solo 31.6mm 40mm,SM-SE-PS3164001,,898A7DA4,Smartmotion,"Kunshan Cyclisport Co., Ltd",20,$215.36,$195.78,$323.04,$0.00,$0.00,$326.34,-$130.56,-66.69
Smartmotion Catalyst 250W 48V / BLUE/ LRG / 12.8,SMB-CAT-LGE-12.8-MB,"7, 6, JL16120637, JL16120673, JL16120686, JL16120659, JL16120656, JL16120602, JL16120614, JL16120627, SMCT210063, JL16120681, JL16120834, JL16120648, JL16120606, JL16120671, JL16120605, JL16070022, JL16100157, JL16120635",20692D81,Smartmotion,"Kunshan Cyclisport Co., Ltd",20,"$45,415.00","$41,286.36",$785.00,$0.00,$0.00,"$32,092.28","$9,194.08",22.27
Vsett 11+ SUPER Electric Scooter /72V 35LG,VSETT-11+-SUPER-35-LG,"V11P72V612202002, V11P72V612202007, V11P72V612202017, V11P72V612202006, V11P72V612202012, V11P72V612202005, V11P72V612202018, V11P72V612202013, V11P72V612202008, V11P72V612202011, V11P72V612202009, V11P72612202010, TBD, TBD, V1172V612202014",A5E06325,VSETT,Ningbo Vsett,20,"$113,144.51","$102,858.65","$4,944.49",$0.00,$0.00,"$84,126.13","$18,732.52",18.21
e20 nipples,,,,,,20,$11.00,$10.00,$0.00,$0.00,$0.00,$0.00,$10.00,100
"ZERO TYRE 8 Inch Series / 8"" Solid Rear (200x60)","ZER-TYRE-8""-SOLID-REAR",,FB7C8520,Zero,Falcon PEV Pte Ltd,20,$684.00,$621.82,$0.00,$0.00,$0.00,$411.60,$210.22,33.81
Deck bolts - various,,,,,,20,$10.00,$9.09,$0.00,$0.00,$0.00,$10.00,-$0.91,-10
ZERO 8X Electric Scooter / 18AH,ZERO-8X-52V18,"F8X518210417010, F8X518210417004, F8X518210417003, F8X518210417005, F8X518210417007, F8X518210417007, 8Xpreorder, F8X518210417006, F8X518211022015, F8X518211022001, F8X518211022004, F8X518211022007, F8X518211022013, TBA1, F8X518211022005",04D6CF30,Zero,Falcon PEV Pte Ltd,19,"$32,434.50","$29,485.91",$100.00,$0.00,$0.00,"$21,632.25","$7,853.66",26.64
Brake bleed kit - scooter,BBK-SCT,,403F1BA8,,,19,$648.75,$589.77,$20.25,$0.00,$0.00,$398.05,$191.72,32.51
VSETT  Charging port + dust cap 8/8+/9/9+/10+,VS-CRG-PRT - 8/8+/9/9+/10+,,09EA6EED,VSETT,Ningbo Vsett,19,$252.17,$229.25,$38.00,$0.00,$6.00,$189.28,$39.97,17.43
SM MidCity 27.5 / Blue,SMB-CITY-27.5-BLUE,"SMWM2000434, SMWM2000150, SMWM2000467, SMWM2000454, SMWM2000393, SMWM2000364, SMWM2000265, SMWM2000228, SMWM2000455, SMWM2000311, SMWM, SMWM2000247, SMWM2000442, SMWM2000283, SMWM2000466, 27.5"", SMWM2000448, SMWM2000166",45DFC67D,Smartmotion,"Kunshan Cyclisport Co., Ltd",18,"$37,841.28","$34,401.16","$1,739.52",$0.00,$0.00,"$27,525.87","$6,875.29",19.99
SM MidCity 27.5 / Red,SMB-CITY-27.5-RED,"SMWM2000154, RED, SMWM, SMWM2000450, SMWM2000422, SMWM2000404, SMWM2000211, SMWM2000199, SMWM2000163, SMWM2000130, SMWM2000254, SMWM2000346, SMWM2000379, BORDER, SMWM2000479, SMWM2000465, SMWM2000276",E663C313,Smartmotion,"Kunshan Cyclisport Co., Ltd",18,"$35,063.67","$31,909.75","$4,517.13",$0.00,$0.00,"$26,922.78","$4,986.97",15.63
SM Manifold Classic,SM-CLS-MANIF-2017,,5AA32028,Smartmotion,"Kunshan Cyclisport Co., Ltd",18,$529.50,$481.36,$197.25,$0.00,$0.00,$115.35,$366.01,76.04
Smartmotion XCity 24 250W 36V / Sienna,SMB-XCITY-24-SIENNA,"SMWX2400142, SMWX2400207, SMWX2400159, SMWX2400135, SMWX2400138, SMWX2400210, SMWX2400163, TBA, SMWX2400191, SMWX2400161, SMWX2400184, SMWX2400157, SMWX2000315, SMWX2400239, SMWX2400141, SMWMJ210153, SMWMJ240035, SMWXJ240203",DF9B8907,Smartmotion,"Kunshan Cyclisport Co., Ltd",18,"$43,523.03","$39,566.39","$2,325.97",$0.00,$0.00,"$29,999.20","$9,567.19",24.18
Labour,,,,,,17,$665.05,$604.59,$0.00,$0.00,$5.00,$115.00,$489.59,80.98
SM Pannier Bags / Black,SM-PANN-BAGS-BLK,,CAF2446D,Smartmotion,"Kunshan Cyclisport Co., Ltd",17,$411.95,$374.50,"$1,182.95",$0.00,$0.00,$714.35,-$339.85,-90.75
Service / Full,10068,,407B1BE9,,,17,"$1,610.25","$1,463.86",$73.75,$0.00,$1.00,$0.00,"$1,463.86",100
SM Display Screen / B&W LCD C300S - BASIC,SM-SCR-ES36VJ5PM4,,6.52E+77,Smartmotion,"Kunshan Cyclisport Co., Ltd",16,$994.50,$904.09,$65.00,$0.00,$0.00,$655.91,$248.18,27.45
KEY AND LOCK,,,,,,16,$458.20,$416.55,$0.00,$0.00,$0.00,$0.00,$416.55,100
INNER TUBES 8.5 X 2,,,,,,16,$219.36,$199.42,$0.00,$0.00,$0.00,$0.00,$199.42,100
SM Rear Rack / MID RANGE with lights / MID/XCITY,SM-R-RK-MID,,27FF3CF8,Smartmotion,"Kunshan Cyclisport Co., Ltd",16,$238.85,$217.14,"$2,222.75",$0.00,$0.00,"$1,491.84","-$1,274.71",-587.05
VSETT 10+ Controller,VS-10+-CNTR-60V,,62C7D7A9,VSETT,Ningbo Vsett,16,"$2,408.08","$2,189.17","$1,102.48",$0.00,$0.00,"$2,431.83",-$242.66,-11.08
"Smartmotion Hypersonic Neo / Black / L-21""",SM-HYPER-NEO-BLK--L-21,"G5SN210343, G5SN210259, G5SN210237, G5SN210358, G5SN210253, G5SN210207, G5SN210212, G5SN210366, G5SN21024, G5SN210351, G5SN210348, G5SN210363, G5SN210217, G5SN210257, G5SN210249, G5SN210223",2CEB7F24,Smartmotion,"Kunshan Cyclisport Co., Ltd",16,"$57,697.50","$52,452.27","$1,102.50",$0.00,$0.00,"$35,988.00","$16,464.27",31.39
"Smartmotion Hypersonic Neo / Black / M-19""",SM-HYPER-NEO-BLK--M-19,"G5SN210327, G5SN210342, G5SN210263, G5SN210338, G5SN210294, G5SN210228, TBA, G5SN210326, G5SN210285, G5SN210283, 1, G5SN210311, G5SN210396, G5SN210173, G5SN, G5SN210556",CD430350,Smartmotion,"Kunshan Cyclisport Co., Ltd",16,"$49,432.50","$44,938.64","$14,042.50",$0.00,$0.00,"$40,265.25","$4,673.39",10.4
VSETT 11+ Tyre (Including inner tube）,VS-11+-TYRE,,C508E62D,VSETT,Ningbo Vsett,16,$646.60,$587.82,$41.90,$0.00,$0.00,$613.26,-$25.45,-4.33
ZERO 10 Rear Fender/Mudguard,ZER-10-REA-FEN,,B036B64A,Zero,Falcon PEV Pte Ltd,15,$331.50,$301.36,$12.50,$0.00,$0.00,$163.10,$138.26,45.88
ZERO Brake Pad Set / CIRCULAR PADS,ZER-BRK-PAD-CIRCULAR,,84F57005,Zero,Falcon PEV Pte Ltd,15,$322.00,$292.73,$4.95,$0.00,$20.00,$195.70,$97.03,33.15
15 X FRAME BOLTS FOR ZERO,,,,,,15,$33.00,$30.00,$0.00,$0.00,$0.20,$0.00,$30.00,100
VSETT 9/9+Brake Pad,VS-9/9+-BRAKE-PAD,,0573998B,VSETT,Ningbo Vsett,15,$272.85,$248.05,$11.90,$0.00,$0.00,$169.82,$78.23,31.54
SM Motor Cable Julet 9pin F to F - ECITY/EURBAN,SM-CL-J9PFF06800,,DC7A518A,Smartmotion,"Kunshan Cyclisport Co., Ltd",15,$130.40,$118.55,$49.62,$0.00,$0.00,$113.99,$4.56,3.84
"ZERO TYRE 10 Inch Series / 10 x 3"" Off-Road","ZER-TYRE-10""-3""-OFF-RD",,5A5DFED0,Zero,Falcon PEV Pte Ltd,15,$322.00,$292.73,$140.00,$0.00,$0.00,$333.90,-$41.17,-14.07
Xiaomi tyres,,,,,,15,$210.00,$190.91,$0.00,$0.00,$0.00,$210.00,-$19.09,-10
"Smartmotion XCity Neo 16"" / Camo",SM-XCITY-NEO-16-CAMO,"7, G5XC211573, G5XC210221, G5XC211485, G5XC211006, G5XC211244, G5XC210966, G5XC211205, 1, 2, G5XC211301, G5XC211373, G5XC211322, G5XC211350, G5XC310680",75FC7C98,Smartmotion,"Kunshan Cyclisport Co., Ltd",15,"$48,446.82","$44,042.57","$1,371.03",$0.00,$0.00,"$32,386.37","$11,656.20",26.47
VSETT 10+ Oil brake pad,VS-10+-OIL-BRK-PAD,,9D3091EB,VSETT,Ningbo Vsett,15,$264.12,$240.30,$2.73,$0.00,$0.00,$115.08,$125.22,52.11
SM G3 EUrban 250W 36V 15.6AH / Blue,SMB-G3-EURB-BLUE,"JL16040376, JL16040505, SM151916, JL17070419, JL17040454, JL17040158, JL16040512, JL16040389, JL17070365, JL17070346, JL17070477, JL17070517, JL17070493, JL17070339",89153CFB,Smartmotion,"Kunshan Cyclisport Co., Ltd",14,"$23,084.60","$20,986.00",$0.00,$0.00,$0.00,"$15,604.40","$5,381.60",25.64
SM XCity 24 / Teal,SMB-XCITY-24-TEAL,"SMWX2400121, SMWX2400214, SMWX2400237, SMWX2400198, SMWX2400143, SMWX2400201, SMWX2400117, SMWX2400147, SMWX2400172, SMWX2400059, SMWX240057, SMWX2400204, TEAL, SMWX2400195",18013B99,Smartmotion,"Kunshan Cyclisport Co., Ltd",14,"$33,320.00","$30,290.91",$980.00,$0.00,$0.00,"$21,961.80","$8,329.11",27.5
SM MidCity 24 / White,SMB-MC-24-WH,"SMWM2400037, SMWM2400001, SMWM240028, SMWM2400212, SMWM2400058, SMWM2400020, SMWM2400151, SMWM2400174, SMWM2400142, SMWM, SMWM2400015, SMWM2400130, SMWM2400133, BORDER",A17B4DE4,Smartmotion,"Kunshan Cyclisport Co., Ltd",14,"$29,864.64","$27,149.67",$419.76,$0.00,$0.00,"$17,186.79","$9,962.88",36.7
ZERO Steering Damper Kit / ZERO 11X,ZER-STE-DMP-11X,,B351F085,Zero,Falcon PEV Pte Ltd,14,"$3,096.17","$2,814.70",$0.00,$0.00,$0.00,"$2,001.05",$813.65,28.91
SM Brake Pads / Magura,SM-BRK-PADS-MAGURA,,5A775B0A,Smartmotion,"Kunshan Cyclisport Co., Ltd",14,$319.30,$290.27,$0.00,$0.00,$0.00,$174.50,$115.77,39.88
SM Controller/E20/Step Through,SM-CON-E20S,,FE7857C6,Smartmotion,"Kunshan Cyclisport Co., Ltd",14,$419.60,$381.45,"$1,049.20",$0.00,$0.00,$209.80,$171.65,45
Smartmotion Catalyst 250W 48V / MB/ LRG / 14.5,SMB-CAT-LGE-14.5-MB,"JL16120607, JL16120610, JL16120601, JL16120603, JL16120342, JL1612062, SMCT2410107, JL16120608, JL16120667, JL16120626, JL16120613, SMCT210056, S, P",20692D81,Smartmotion,"Kunshan Cyclisport Co., Ltd",14,"$30,200.00","$27,454.55",$600.00,$0.00,$0.00,"$21,538.44","$5,916.11",21.55
"ZERO Light Module / 8,9,10,10X",ZER-LIGHT-MOD-STD,,600D70D3,,Falcon PEV Pte Ltd,14,$185.67,$168.79,$135.77,$0.00,$0.00,$179.55,-$10.76,-6.37
ZERO Hydraulic E-brakes Kit / ZOOM,ZER-HYD-BRK-KIT-ZOOM,,29841F3F,,,13,"$2,499.74","$2,272.50",$225.26,$0.00,$0.00,"$1,940.29",$332.21,14.62
Smartmotion Essence 250w 10.4AH / Red,SMB-ESS-RED,"JL17070946, JL1611379, JL17071020, JL17070861, JL17070972, JL17070846, JL17070849, JL17070977, JL17071040, JL17071072, 2, J26210231, JL17070808",079CE74B,Smartmotion,"Kunshan Cyclisport Co., Ltd",13,"$17,863.54","$16,239.58",$559.16,$0.00,$250.00,"$11,676.38","$4,563.20",28.1
RE Front Pouch,RE-POUCH,,EC6DF1A6,Smartmotion,"Kunshan Cyclisport Co., Ltd",13,$381.95,$347.22,$244.68,$0.00,$0.00,$195.00,$152.22,43.84
VSETT 9+ 48V Controller (Rear),VS-9+-CNTR-48V-R,,2C1D81C6,VSETT,Ningbo Vsett,13,$754.11,$685.55,$335.16,$0.00,$0.00,$990.25,-$304.69,-44.44
ZERO 10X Electric Scooter / 24AH LG ,ZERO-10X-52V23-LG,"F10X523L210519018, F10X523L210519032, F10X523L210531042, F10X523L210519014, F10X523L210519021, F10X523L201531025, F10X523L210519023, F10X523L210531026, F10X523L210531013, F10X523L210519026, F10X523L210519028, F10X523L210519034",1FB9F736,Zero,Falcon PEV Pte Ltd,12,"$28,490.50","$25,900.45",$0.00,$0.00,$749.75,"$15,816.00","$10,084.45",38.94
ZERO HELMET,,,,,,12,$317.76,$288.87,$178.00,$0.00,$0.00,$0.00,$288.87,100
ZERO 9 Electric Scooter / 48V 10.4AH,ZERO-9-48V10,"F941021047009, F9410210417012, F9410210417017, F9410210417014, F9410210417016, F9410210417015, F9410210417008, F9410210417010, F9410210417004, F9410210417006, F9410210417019, F9410210417013",740ED86E,Zero,Falcon PEV Pte Ltd,12,"$10,791.00","$9,810.00",$0.00,$0.00,$0.00,"$6,050.70","$3,759.30",38.32
ZERO Seat Post / Z8 Seat Post,ZER-SEAT-8,,AE5EB02A,Zero,Falcon PEV Pte Ltd,12,"$1,218.84","$1,108.04",$65.00,$0.00,$10.00,$782.76,$325.28,29.36
SM Light Box DC to DC converter - MIDCITY/XCITY,SM-LB-MC-A3PF000,,72665292,Smartmotion,"Kunshan Cyclisport Co., Ltd",12,$76.92,$69.93,$396.14,$0.00,$0.00,$279.72,-$209.79,-300.02
ECITY REAR SPOKES,,,,,,12,$18.60,$16.91,$0.00,$0.00,$0.00,$0.00,$16.91,100
Ecity Rear Spokes,,,,,,12,$18.00,$16.36,$11.04,$0.00,$0.00,$0.00,$16.36,100
"Smartmotion XCity Neo 16"" / Sand",SM-XCITY-NEO-16-SAND,"4, 5, 6, G5XC211276, G5XC211375, G5XC210792, G5XC211503, G5XC211285, G5XC211313, G5XC210616, G5XC210850, G5XC211279",A7926165,Smartmotion,"Kunshan Cyclisport Co., Ltd",12,"$39,429.45","$35,844.95",$499.00,$0.00,$0.00,"$25,172.85","$10,672.10",29.77
SM Communication Cable / Julet / Classic / Basic,SM-COMM-CBL-CB,,911D9D28,Smartmotion,"Kunshan Cyclisport Co., Ltd",12,$181.60,$165.09,$36.32,$0.00,$0.00,$118.80,$46.29,28.04
VSETT 10+ Motor Rim,VS-10+-MOTOR-RIM,,AECD50BA,VSETT,Ningbo Vsett,12,$147.07,$133.70,$45.03,$0.00,$0.00,$158.45,-$24.75,-18.51
VSETT 9+ 48V Controller (Front),VS-9+-CNTR-48V-F,,E3D66A54,VSETT,Ningbo Vsett,12,$754.11,$685.55,$251.37,$0.00,$0.00,$914.07,-$228.52,-33.33
"Smartmotion Hypersonic Neo / Blue / M-19""",SM-HYPER-NEO-BLU--M-19,"G5SN210245, G5SN210230, G5SN210234, G5SN210274, G5SN210289, G5SN210377, G5SN210270, G5SN210401, G5SN210328, SMWMJ210055, G5SN210562, G5SN210248",9D433211,Smartmotion,"Kunshan Cyclisport Co., Ltd",12,"$45,326.87","$41,206.25",$348.13,$0.00,$0.00,"$28,416.75","$12,789.50",31.04
Service,,,,,,11,$679.00,$617.27,$50.00,$0.00,$239.00,$90.00,$527.27,85.42
ZERO Sporty Mirrors / Black,ZER-SPT-MIR-BLK,,F7212408,Zero,Falcon PEV Pte Ltd,11,$412.20,$374.73,$0.00,$0.00,$0.00,$198.00,$176.73,47.16
SM Front Light / Buschel Shiny 50 / E20/ECITY/EURBAN,SM-FL-BJ2PF654V0,,AB961879,Smartmotion,"Kunshan Cyclisport Co., Ltd",11,$343.73,$312.48,$636.00,$0.00,$0.00,$614.99,-$302.51,-96.81
ZERO Seat Post / Z10 Seat Post,ZER-SEAT-10,,7F817AF1,Zero,Falcon PEV Pte Ltd,11,"$1,120.22","$1,018.38",$39.00,$0.00,$0.00,$751.87,$266.51,26.17
ZERO Motor Cable,ZER-MOT-CBL,,33303542,,,11,$200.84,$182.58,$28.00,$0.00,$0.00,$141.69,$40.89,22.4
RE Front Pouch Plain,RE-POUCH-PLAIN,,EC6DF1A6,Smartmotion,"Kunshan Cyclisport Co., Ltd",11,$272.20,$247.45,$49.95,$0.00,$0.00,$165.00,$82.45,33.32
USB Dual Mini 800 Lumens Bike/Scooter Headlight,HEAD-LIGHT,,9CBDC0EC,,Zero E-Scooters Australia,11,$795.47,$723.15,$13.99,$0.00,$0.00,$769.45,-$46.30,-6.4
VSETT 10+ Disc brake Rotor,VS-10+-DISC-BRK,,88042737,VSETT,Ningbo Vsett,11,$277.99,$252.97,$3.29,$0.00,$0.00,$190.60,$62.37,24.65
Derailleur Hanger / Sports,DER-HAN-SPT,,6C573156,,,11,$95.55,$86.86,$19.90,$0.00,$0.00,$38.85,$48.01,55.27
SM Battery Charger / 36v 3Ah 3pin Male,SM-BC-36V3A3PM00,,5ED8B9D9,Smartmotion,"Kunshan Cyclisport Co., Ltd",11,$558.60,$507.82,$303.60,$0.00,$17.40,$626.77,-$118.95,-23.42
ZERO Motor Rim Cover / ZERO 10X,ZER-RIM-REAR-10X,,379A208E,Zero,Falcon PEV Pte Ltd,11,$186.38,$169.44,$42.46,$0.00,$0.00,$141.69,$27.75,16.38
SM Suspension Seat Post / Generic 31.6mm 40mm,SM-SE-PS316402,,3A300B64,Smartmotion,"Kunshan Cyclisport Co., Ltd",11,$250.50,$227.73,$25.05,$0.00,$0.00,$166.98,$60.75,26.68
Segway Tyres / 60/70-6.5,SEG-TYR-NINEBOT,,261452FF,,Ali Express,11,$454.70,$413.36,$97.30,$0.00,$15.00,$363.22,$50.14,12.13
ZERO 8 Electric Scooter / 10.4AH,ZERO-8-48V10.4,"F98410210417063, F8410210417019, F8410210417047, F8410210417008, F8410210417074, F8410210417003, F8410210417026, F84102104147089, F8410210417002, F8413210417005",26D43F74,Zero,Falcon PEV Pte Ltd,10,"$8,394.75","$7,631.59",$99.00,$0.00,$252.00,"$4,600.00","$3,031.59",39.72
"INNER TUBE 11"" - 11 X 3",,,,,,10,$181.00,$164.55,$0.00,$0.00,$0.00,$0.00,$164.55,100
"INNER TUBE 10 X 2""",,,,,,10,$156.90,$142.64,$0.00,$0.00,$0.00,$0.00,$142.64,100
11 INCH INNER TUBE,,,,,,10,$178.90,$162.64,$0.00,$0.00,$0.00,$0.00,$162.64,100
XIOMI INNER TUBE - 10 INCH,,,,,,10,$156.90,$142.64,$0.00,$0.00,$0.00,$0.00,$142.64,100
"10 X 2"" INNER TUBE",,,,,,10,$156.90,$142.64,$0.00,$0.00,$0.00,$0.00,$142.64,100
"INNER TUBE 8.5 X 2""",,,,,,10,$137.10,$124.64,$0.00,$0.00,$0.00,$0.00,$124.64,100
VSETT 11+ Electric Scooter / 60V 31.2,VSETT-11+-31.2,"V11P60V612103818, V11960V6121030002, V11P60V6121030012, V11P60V121030011, V11P60V6121030003, V11P60V612103005, V11P60V612103011, RED AND BLUE, V11P60V612103001, V11P60V612103023",2CEACF31,VSETT,Ningbo Vsett,10,"$37,942.95","$34,493.59",$799.30,$0.00,$0.00,"$24,225.86","$10,267.74",29.77
SM Essence 250w 10.4AH / Red,SMB-ESS-RED,"JL17070809, JL17070905, JL17070860, JL17070898, JL17071012, JL17070823, JL17070813, JL17070894, JL17071045, JL17070860",079CE74B,Smartmotion,"Kunshan Cyclisport Co., Ltd",10,"$12,172.20","$11,065.64","$1,908.90",$0.00,"$1,500.00","$7,967.88","$3,097.76",27.99
"ZERO TYRE 8 Inch Series / 8"" x 3"" Urban Wide","ZER-TYRE-8""-3""-URBAN-WIDE",,805ABDE7,Zero,Falcon PEV Pte Ltd,10,$207.90,$189.00,$0.00,$0.00,$0.00,$20.00,$169.00,89.42
First Service,,,,,,10,$0.00,$0.00,$298.00,$0.00,$198.00,$0.00,$0.00,0
"inner tubes 8.5 x 2""",,,,,,10,$137.10,$124.64,$0.00,$0.00,$0.00,$0.00,$124.64,100
"INNER TUBES 10 X 2 """,,,,,,10,$156.90,$142.64,$0.00,$0.00,$0.00,$0.00,$142.64,100
SMARTMOTION HELMETS,,,,,,10,$272.20,$247.45,$0.00,$0.00,$0.00,$0.00,$247.45,100
ZERO LED Light / ZERO LED light Front,ZER-LED-LIGHT-FRN,,29236B28,Zero,Falcon PEV Pte Ltd,10,$225.12,$204.65,$5.81,$0.00,$4.61,$105.81,$98.84,48.3
PHONE HOLDER,,,,,,10,$193.80,$176.18,$0.00,$0.00,$0.00,$0.00,$176.18,100
ZERO 10X Voltmeter,ZER-10X-VOL,,90779052,Zero,Falcon PEV Pte Ltd,10,$355.50,$323.18,$0.00,$0.00,$0.00,$204.75,$118.43,36.65
SM Battery end 2016 17 18,SM-BTRY-END-2016-17-18,,12F41C37,,,10,$247.36,$224.87,$125.74,$0.00,$0.00,$68.30,$156.57,69.63
ZERO Drum Brake / ZERO 9,ZER-DRU-BRK-9,,2BB9FD5E,Zero,Falcon PEV Pte Ltd,10,$419.70,$381.55,$0.00,$0.00,$0.00,$221.40,$160.15,41.97
VSETT 10+/ 11+ Charger,VS-10+CHARGER-60V,,5AFE555A,VSETT,Ningbo Vsett,10,$663.30,$603.00,$0.00,$0.00,$0.00,$174.60,$428.40,71.04
SM Communications Manifold / Julet / E20/ECITY,SM-CL-JMAN430000,,242BB3A0,Smartmotion,"Kunshan Cyclisport Co., Ltd",10,$226.90,$206.27,$226.90,$0.00,$0.00,$275.06,-$68.79,-33.35
VSETT 8/8+ Brake cable (Drum),VS-8/8+-BRK-CBLE,,73580BF5,VSETT,Ningbo Vsett,10,$88.93,$80.85,$8.99,$0.00,$0.00,$76.37,$4.47,5.53
VSETT 9/9+ Kickstand,VS-9/9+-KIK-STND,,200C1A41,VSETT,Ningbo Vsett,10,$182.07,$165.52,$5.75,$0.00,$0.00,$108.33,$57.19,34.55
Smartmotion Catalyst 250W 48V / BLUE/LGE/17.5,SMB-CAT-LGE-17.5-MB,"JL16120658, JL16120651, SMCT210066, JL16120623, SMCT210061, JL16120634, JL16120636, JL16120359, JL16120693, JL16120611",15326C43,Smartmotion,"Kunshan Cyclisport Co., Ltd",10,"$22,940.50","$20,855.00",$709.50,$0.00,$0.00,"$18,916.60","$1,938.40",9.29
Alarm Disc Lock,ALR-DISC-LCK,,3A8B6226,,,10,$424.58,$385.98,$74.93,$0.00,$0.00,$348.60,$37.38,9.68
VSETT 10+ MOTOR RIM SCREWS,,,,,,10,$4.00,$3.64,$0.00,$0.00,$0.00,$4.00,-$0.36,-10
VSETT LCD NFC Display,VS-NFC-DISPLAY,,7DC40FB4,VSETT,Ningbo Vsett,10,$672.55,$612.70,$135.29,$0.00,$0.00,$619.12,-$6.43,-1.05
220mm Spoke Silver,,,,,,10,$30.00,$27.27,$0.00,$0.00,$0.00,$0.00,$27.27,100
SM XCity 24 / Sienna,SMB-XCITY-24-SIENNA,"SMWX2400172, SMWX2400192, SMWX2400199, SMWX2400217, SIENNA 24, SMWX2400215, SMWX2400166, SMWX2400177, SMWX2400146",DF9B8907,Smartmotion,"Kunshan Cyclisport Co., Ltd",9,"$21,560.00","$19,600.00",$490.00,$0.00,$0.00,"$14,118.30","$5,481.70",27.97
ZERO 9 Tyre,ZER-9-TYRE,,A8ED5960,,,9,$221.80,$201.64,$102.20,$0.00,$0.00,$126.00,$75.64,37.51
First service,,,,,,9,$0.00,$0.00,$305.00,$0.00,$200.00,$0.00,$0.00,0
ZERO Seat Post / Z9 Seat Post,ZER-SEAT-9,,C89CEDC7,Zero,Falcon PEV Pte Ltd,9,$784.60,$713.27,$46.16,$0.00,$0.00,$370.92,$342.35,48
ZERO Front Fork / ZERO 10,ZER-FRO-FORK-10,,1767A689,Zero,Falcon PEV Pte Ltd,9,$432.00,$392.73,$0.00,$0.00,$0.00,$210.00,$182.73,46.53
SM Battery - E20 Step Thru / 36V11.6AH E20 (2021+),SM-BTRY-E2S36116-B,,9651A935,Smartmotion,"Kunshan Cyclisport Co., Ltd",9,"$2,441.05","$2,225.20","$2,933.09",$0.00,$0.00,"$2,981.74",-$756.55,-34
ZERO 9 Rear Fender SP,ZER-9-REA-FEN-SP,,AA8A0BA2,Zero,Falcon PEV Pte Ltd,9,$195.00,$177.28,$0.00,$0.00,$0.00,$91.00,$86.28,48.67
SM Smartmotion commuter lock,SM-C-LOCK,,B6038539,Smartmotion,"Kunshan Cyclisport Co., Ltd",9,$220.00,$200.00,$49.95,$0.00,$0.00,$27.50,$172.50,86.25
ZERO 9 Controller,ZER-9-CON,,49F226A1,Zero,Falcon PEV Pte Ltd,9,$427.25,$396.18,$376.35,$0.00,$0.00,$421.45,-$25.27,-6.38
Universal Phone Holder,UNI-PHO-HLD,,0386378B,,,9,$209.95,$190.86,$15.05,$0.00,$0.00,$0.00,$190.86,100
SM Throttle / Half Length LH Twist / E20/ECITY/EURBAN,SM-TH-LHJ3PM2001,,A077F72E,Smartmotion,"Kunshan Cyclisport Co., Ltd",9,$83.40,$75.82,$102.60,$0.00,$0.00,$124.85,-$49.03,-64.67
SM E20 Battery Lock Cylinder+Key,SM-BATT-LOCK-KEY,,CD505E75,Smartmotion,"Kunshan Cyclisport Co., Ltd",9,$40.20,$36.55,$133.10,$0.00,$0.00,$33.97,$2.58,7.05
